1,1,Reference #,,,F
2,1,Status,,,F
3,1,Please enter your Zip Code:,,,F
4,2,What is your gender?,,Male^Female,S
5,7,Please tell us which age range you are in:,,14-17^18-24^25-34^35-44^45-54^55-64^65+,S
6,77,What year were you born?,,1935 or before^1936^1937^1938^1939^1940^1941^1942^1943^1944^1945^1946^1947^1948^1949^1950^1951^1952^1953^1954^1955^1956^1957^1958^1959^1960^1961^1962^1963^1964^1965^1966^1967^1968^1969^1970^1971^1972^1973^1974^1975^1976^1977^1978^1979^1980^1981^1982^1983^1984^1985^1986^1987^1988^1989^1990^1991^1992^1993^1994^1995^1996^1997^1998^1999^2000^2001^2002^2003^2004^2005^2006^2007^2008^2009^2010^2011,S
7,4,"Do you expect to spend more, the same or less for Mother's Day this year than you spent last year?",,More^Same^Less^Don't Celebrate Mother's Day,S
8,9,Clothing or clothing accessories,,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
9,9,Jewelry,,$0^$1 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 to $500^$501 or more,S
10,9,Flowers,,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
11,9,Books or CDs,,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
12,9,Greeting card(s),,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
13,9,Gift Card(s)/Certificate(s),,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
14,9,Consumer electronics or computer related accessories,,$0^$1 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 to $500^$501 or more,S
15,9,Housewares or gardening tools,,$0^$1 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 to $500^$501 or more,S
16,9,"Personal Service, such as day at a spa, a facial or a massage",,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
17,9,"Special outing such as dinner, brunch, or other fun activity/experience",,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
18,9,Other,,$0^$1 to $10^$11 to $20^$21 to $30^$31 to $50^$51 to $75^$76 to $100^$101 to $200^$201 or more,S
19,7,Where will you purchase Mother's Day gifts this year? (Check all that apply),,"Discount Store^Department Store^Specialty Clothing Store^Specialty Store (Greeting Card/Gift Store, Florist, Jeweler, Electronics Store)^Local/Small Business^Online^Catalog",M
20,9,Who do you plan to buy a Mother's Day gift for this year? (Check all that apply),,Mother or Stepmother^Wife^Daughter^Grandmother^Sister^Friend^Godmother^Other relative^No one,M
21,3,"Regarding 'gifts of experience' (e.g. tickets to a concert or sporting event, hot air balloon ride, gym membership, spa service, art/learning classes, etc.), do either of the following apply to you this Mother's Day? (Check all that apply)",,I'm planning to give a 'gift of experience'^I would love to receive a 'gift of experience'^None of the above,M
22,5,"When shopping for Mother’s Day gifts, how often do you look to retailers for gift inspiration?",,Always^Very often^Sometimes^Not very often^Never,S
23,4,"How interested are you in gifting a product subscription box service this Mother’s Day? This includes services like Birchbox, LeTote, Stitchfix, and Fresh Direct where you receive a selection of clothing, beauty products, food, or other items on a regular basis. For example, on a monthly or quarterly basis.",,Very interested^Somewhat interested^Not very interested^Not interested at all,S
24,6,"When purchasing Mother’s Day gifts, what’s the most important to you?  (Check all that apply)",,Finding a gift that’s convenient for me^Finding a gift that’s unique or different^Finding a gift that’s cheaper or most cost effective^Finding a gift that creates a special memory^Other (please specify)^Other field,M
25,9,"Which types of Mother’s Day gifts, if any, do you think will be more expensive this year because of tariffs? (Check all that apply)",,"Jewelry^Flowers^Books or CDs^Greeting cards^Consumer electronics or computer related accessories^Housewares or gardening tools^Personal services (such as a day at the spa, a facial or a massage)^Special outing such as dinner, brunch, or other fun activity/experience^I don’t anticipate any gifts being more expensive this year",M
26,9,"If items for Mother’s Day are more expensive this year, which of the following do you plan to do? (Check all that apply)",,"Take advantage of sales and promotions^Cutting back on other areas^Buying gifts for fewer people^Prepare a meal at home instead of going out to eat^Not buying gifts^Using Buy Now, Pay Later^Buying less expensive gifts^Making a handmade gift^Choosing not to travel for the holiday",M
27,5,"Given the current uncertainty around the economy, is celebrating Mother’s Day more, the same or less important to you this year?",,Much more important^Slightly more important^Same^Slightly less important^Much less important,S
28,4,"Apparel & Accessories (In the past 30 days, how have you shopped for the following products? (Check all that apply))",,In a physical store^Online site (via desktop/laptop)^Mobile site (via smartphone/tablet)^Have not shopped in past 30 days,M
29,4,"Shoes (In the past 30 days, how have you shopped for the following products? (Check all that apply))",,In a physical store^Online site (via desktop/laptop)^Mobile site (via smartphone/tablet)^Have not shopped in past 30 days,M
30,4,"Electronics (In the past 30 days, how have you shopped for the following products? (Check all that apply))",,In a physical store^Online site (via desktop/laptop)^Mobile site (via smartphone/tablet)^Have not shopped in past 30 days,M
31,4,"Home Décor/Linens & Bedding (In the past 30 days, how have you shopped for the following products? (Check all that apply))",,In a physical store^Online site (via desktop/laptop)^Mobile site (via smartphone/tablet)^Have not shopped in past 30 days,M
