1,1,Reference #,,,F
2,1,Status,,,F
3,1,Zip:,,,F
4,2,What is your gender?,,Male^Female,S
5,7,Please tell us which age range you are in:,,14-17^18-24^25-34^35-44^45-54^55-64^65+,S
6,77,What year were you born?,,1935 or before^1936^1937^1938^1939^1940^1941^1942^1943^1944^1945^1946^1947^1948^1949^1950^1951^1952^1953^1954^1955^1956^1957^1958^1959^1960^1961^1962^1963^1964^1965^1966^1967^1968^1969^1970^1971^1972^1973^1974^1975^1976^1977^1978^1979^1980^1981^1982^1983^1984^1985^1986^1987^1988^1989^1990^1991^1992^1993^1994^1995^1996^1997^1998^1999^2000^2001^2002^2003^2004^2005^2006^2007^2008^2009^2010^2011,S
7,7,What percentage of your holiday shopping did you do online?,,None (0%)^1% to 10%^11% to 25%^26% to 50%^51% to 75%^76% to 99%^100%,S
8,1,What website did you make most of your purchases from? [write-in],,,F
9,10,What percentage of your online holiday orders did you end up returning without keeping for yourself or giving as gifts?,,0%^1% to 2%^3% to 5%^6% to 10%^11% to 15%^16% to 20%^21% to 25%^26% to 50%^51% to 75%^76% to 100%,S
10,6,"U.S. Postal Service (Regarding your online holiday orders, please rate your level of satisfaction with the following shipping providers on a scale of 1 ('Very Dissatisfied') to 5 ('Very Satisfied'):)",,Very Dissatisfied 1^Dissatisfied 2^Neither Satisfied or Dissatisfied 3^Satisfied 4^Very Satisfied 5^Did not use,S
11,6,"Federal Express (Regarding your online holiday orders, please rate your level of satisfaction with the following shipping providers on a scale of 1 ('Very Dissatisfied') to 5 ('Very Satisfied'):)",,Very Dissatisfied 1^Dissatisfied 2^Neither Satisfied or Dissatisfied 3^Satisfied 4^Very Satisfied 5^Did not use,S
12,6,"UPS (Regarding your online holiday orders, please rate your level of satisfaction with the following shipping providers on a scale of 1 ('Very Dissatisfied') to 5 ('Very Satisfied'):)",,Very Dissatisfied 1^Dissatisfied 2^Neither Satisfied or Dissatisfied 3^Satisfied 4^Very Satisfied 5^Did not use,S
13,6,"Amazon Delivery (Regarding your online holiday orders, please rate your level of satisfaction with the following shipping providers on a scale of 1 ('Very Dissatisfied') to 5 ('Very Satisfied'):)",,Very Dissatisfied 1^Dissatisfied 2^Neither Satisfied or Dissatisfied 3^Satisfied 4^Very Satisfied 5^Did not use,S
14,11,How many gift cards did you receive this recent holiday season?,,None^1^2^3^4^5^6^7^8^9^10 or more,S
15,7,How much of the total gift card(s) value have you redeemed thus far?,,None (0%)^1% to 10%^11% to 25%^26% to 50%^51% to 75%^76% to 99%^100%,S
16,2,"When redeeming the gift card(s), did you find yourself spending additional dollars beyond the value of the gift card(s) to purchase an item(s)?",,Yes^No,S
17,3,Did you/do you plan to return any gifts you received during the recent holiday season?,,"Yes, I've already begun returning gifts^Yes, I plan to return gifts, but haven't done so yet^No",S
18,5,Where have you returned holiday gifts so far?,,Within a physical retail store^Online^Through a catalog^Other (please specify)^Other field,S
19,5,"Regarding the holiday returns you made in physical retail store(s), please rate your level of satisfaction with your return experience on a scale of 1 ('Very Dissatisfied') to 5 ('Very Satisfied'):",,1 - Very Dissatisfied^2 - Dissatisfied^3 - Neither Satisfied or Dissatisfied^4 - Satisfied^5 - Very Satisfied,S
20,5,"Regarding the holiday returns you made online, please rate your level of satisfaction with your return experience on a scale of 1 ('Very Dissatisfied') to 5 ('Very Satisfied'):",,1 - Very Dissatisfied^2 - Dissatisfied^3 - Neither Satisfied or Dissatisfied^4 - Satisfied^5 - Very Satisfied,S
21,2,"Did you use 'Buy Online, Pick-up In Store or Curbside Pickup' services when shopping for the holiday season this year?",,Yes^No,S
22,1,"Where did you use 'Buy Online, Pick-up In Store or Curbside Pickup' services this holiday season? (If you used this service at multiple retailers, please name the retailer you most recently used.)",,,F
23,5,"Please rate your 'Buy Online, Pick-up In Store or Curbside Pickup' shopping experience with that retailer:",,5 - Excellent^4 - Very Good^3 - Good^2 - Fair^1 - Poor,S
24,5,"Were prices on the gifts and other winter holiday items you purchased this season higher, the same or lower compared to last year?",,"Yes, much higher^Yes, somewhat higher^The same^No, somewhat lower^No, much lower",S
25,13,For which types of gifts and other winter holiday items did you see higher prices? (Check all that apply),,"Clothing or clothing accessories^Consumer electronics or computer-related accessories^Toys^Jewelry or precious metal accessories^Home improvement items or tools^Home décor or home-related furnishings^Books, CDs, DVDs, videos or video games^Sporting goods or leisure items^Personal care or beauty items^Holiday decorations^Gift cards / gift certificates^Other (please specify)^Other field",M
26,4,Did all of your gifts that you purchased online arrive in time for the holidays this year?,,"Yes, they arrived when I expected them to^Yes, but they arrived later than they expected to^No, they did not arrive in time^Did not order any gifts online",S
27,5,What did you do when gifts ordered online did not arrive in time for the holidays?,,Shopped in person to purchase another gift before the holiday^Gave the recipient a gift after the holidays^Gave a gift card or cash instead^Other (please specify)^Other field,M
28,6,"When you watch the Super Bowl, what is the most important part for you? (Choose only one)",,The Game^The Half Time Show^The Commercials^Getting together with friends^Fun food that is prepared for the game^I don't watch the Super Bowl,S
29,5,What would convince you to watch the Super Bowl?,,If a friend invited me to a viewing party^If my favorite team was playing^If I got excited for the halftime show^Other^Nothing would change my mind about watching the Super Bowl,S
30,1,"Other, please specify:",,,F
31,4,Do you plan to throw or attend a Super Bowl party?,,"Yes, plan to throw a party^Yes, plan to attend a party^Plan to watch at a bar/restaurant^No",S
