1,1,Reference #,,,F
2,1,Status,,,F
3,1,Please enter your Zip Code:,,,F
4,2,What is your gender?,,Male^Female,S
5,7,Please tell us which age range you are in:,,14-17^18-24^25-34^35-44^45-54^55-64^65+,S
6,77,What year were you born?,,1935 or before^1936^1937^1938^1939^1940^1941^1942^1943^1944^1945^1946^1947^1948^1949^1950^1951^1952^1953^1954^1955^1956^1957^1958^1959^1960^1961^1962^1963^1964^1965^1966^1967^1968^1969^1970^1971^1972^1973^1974^1975^1976^1977^1978^1979^1980^1981^1982^1983^1984^1985^1986^1987^1988^1989^1990^1991^1992^1993^1994^1995^1996^1997^1998^1999^2000^2001^2002^2003^2004^2005^2006^2007^2008^2009^2010^2011,S
7,2,Do you plan to shop for back-to-school/college this year?,,Yes^No,S
8,4,Are you starting your back-to-school or college shopping earlier this year compared to last year specifically because you are concerned that prices will go up later in the season due to tariffs?,,Yes^No^Unsure^Did not shop for the season last year,S
9,7,How much of your back-to-school/college shopping have you completed?,,Not started yet (0%)^1% to 10%^11% to 25%^26% to 50%^51% to 75%^76% to 99%^100% - FINISHED,S
10,12,You indicated that you had 50% or less of your back-to-school/college shopping completed. What are some of the reasons why you are still shopping? (Check all that apply),,I don’t know what is needed yet^I am still waiting for the best deals^I don’t feel pressured to shop because I believe the deals and promotions will last all season long^I am planning on spreading out my budget^I like to put back-to-school/college shopping off until the last minute^I am having trouble finding what I need^Prices are too high^I am trying to figure out how to pay for what I need^I am a procrastinator^I haven’t had time yet^Other (please specify)^Other field,M
11,6,When do you expect to receive lists or other information on the supplies and other items you will need for the coming school year?,,Have already received this^By the end of July^August^September^After September^I do not typically receive lists of items that I will need,S
12,2,Which of the following best describes how you plan on approaching back-to-school/college shopping this year?,,I plan on stocking up on items to last the entire school year before classes start^I plan on buying just what’s needed for the start of school and replenishing or buying additional school/college items throughout the year,S
13,7,"Which of the following, if any, are reasons you  plan to buy just what’s needed for the start of school and replenishing or buying additional items throughout the year? (Check all that apply)",,I can’t afford to purchase everything for the year right now^The items I need aren’t available/in stock^I don’t know exactly what items I will need for the entire year^I want to avoid over-buying^The deals on items I need will be just as good later in the year^Other (please specify)^Other field,M
14,4,"Amazon's Prime Day will take place during the week of July 7th this year, how, if at all do you plan to use Prime Day to shop specifically for back-to-school or college items? (Check all that apply)",,Shop Prime Day deals on Amazon^Shop online deals at other retailers during Prime Day^Shop in-store deals at other retailers during Prime Day^Will not use Prime Day or other retailer deals during the week of July 15th to shop for back-to-school or college items,M
15,5,"Many retailers have announced special deals and promotions during the month of July such as Black Friday in July, Walmart Deals, or Target Circle Week. How likely are you to use these sales to shop specifically for back-to-school or college items?",,Very likely^Somewhat likely^Unsure^Not very likely^Not at all likely,S
16,6,Do you expect to see higher prices when shopping for back-to-school/college items?,,"Yes, much higher^Yes, somewhat higher^The same^No, somewhat less^No, much less^I haven’t started shopping for back-to-school/college items yet",S
17,8,For which back-to-school/college items do you expect to see higher prices? (Check all that apply),,"Clothing and accessories^Shoes^School supplies, such as notebooks, folders, pencils, backpacks, and lunchboxes^Electronics or computer-related equipment^Furniture^Personal care items, such as skin care, hair care, oral care, makeup, OTC medicine, etc.^Other (please specify)^Other field",M
18,11,What will you do if prices for back-to-school items are higher than expected?  (Check all that apply),,Buy fewer items overall^Comparative shop more^Shop at discount stores for these items^Purchase a different brand than I would normally (for example a store brand)^Shop for used or refurbished items^Make do with what I already own^Look for coupons or sales more often^Substitute to cheaper alternatives^Cut back in other areas so I can afford these purchases^Other (please specify)^Other field,M
19,6,Have you already noticed higher prices when shopping for back-to-school or college items?,,"Yes, much higher^Yes, somewhat higher^The same^No, somewhat less^No, much less^Unsure",S
20,4,Are you experiencing difficulty finding back-to-school/college items either online or in-store?,,"Yes, in-store^Yes, online^Yes, in-store and online^No, I am not experiencing difficulty finding back-to-school/college items",S
21,7,What do you typically do when you have trouble finding back-to-school/college items? (Check all that apply),,"Look for it at another retailer^Look for it at another location (for example online or in a store)^Find an alternative (i.e., another brand or color)^Find something else completely^Purchase in a different size or quantity^Wait to see if it comes back in stock^Skip that purchase altogether",M
22,4,How confident are you that you will be able to find all the items you need by the first day of school?,,Very confident^Somewhat confident^Not very confident^Not confident at all,S
23,6,"Which of the following, if any, are you doing to cover the cost of back-to-school/college items this year? (Check all that apply)",,Borrowing money or going into debt^Using Buy Now Pay Later^Taking out additional credit cards^Cutting back in other areas^Working overtime or taking on additional hours^None of the above,M
24,2,Do you have children in your household between the ages of 6 and 17?,,Yes^No,S
25,3,Do you have children in your household in the following grades? (Check all that apply),,Elementary School^Middle School/Junior High^High School,M
26,2,Do you plan to homeschool your child/children this year?,,Yes^No,S
27,6,Have you homeschooled your child/children before?,,"No, this is their first schoolyear^No, they were previously in a traditional school and will begin homeschooling this year^Yes, they have been homeschooled since kindergarten^Yes, they have experience with both homeschooling and traditional schooling^Other (please specify)^Other field",S
28,7,Why do you plan to homeschool your children? (Check all that apply),,Child had a negative school environment/experience^Higher quality education^Child has a learning disability^Disagree with values taught in school^Concerns about school safety^Other (please specify)^Other field,M
29,4,What are your spending plans for the upcoming back-to-school shopping season?,,Plan to spend more than last year^Plan to spend the same as last year^Plan to spend less than last year^Did not shop for back-to-school last year,S
