4,2,What is your gender?,,Male^Female,X,,,,,
356,5,What is your marital status?,,"Married^Living with Unmarried Partner^Divorced or separated^Widowed^Single, never married",S,,,,,
5,7,Please tell us which age range you are in:,,14-17^18-24^25-34^35-44^45-54^55-64^65+,A,AVG,0^21^29.5^39.5^49.5^59.5^69.5,,,
357,7,What is the highest level of formal education you have completed?,,Have not graduated high school^Graduated high school^Technical School or Vocational Training^1-3 years of college (Did not graduate)^Associates or Professional Degree^Bachelors Degree^Post college study or degree,S,AVG,9^12^13^14^14^16^18,,,
149,12,Which one of the following categories best describes your current occupation?,,"Business Owner^Professional/Managerial^Salesperson^Factory worker/Laborer/Driver^Clerical or Service Worker^Homemaker^Student, High School or College^Military^Retired^Unemployed^Disabled (Unable to work)^Other (please specify)",S,,,,,
358,25,"What is the annual total income of your household? If you are not married or not living with someone as married, please report your personal income. (Please remember, your answers are anonymous.)",,"Less than $10,000^$10,000 to $14,999^$15,000 to $19,999^$20,000 to $24,999^$25,000 to $29,999^$30,000 to $34,999^$35,000 to $39,999^$40,000 to $44,999^$45,000 to $49,999^$50,000 to $54,999^$55,000 to $59,999^$60,000 to $64,999^$65,000 to $69,999^$70,000 to $74,999^$75,000 to $79,999^$80,000 to $84,999^$85,000 to $89,999^$90,000 to $94,999^$95,000 to $99,999^$100,000 to $109,999^$110,000 to $119,999^$120,000 to $129,999^$130,000 to $139,999^$140,000 to $149,999^$150,000 or more",S,,,,,
395,8,What is the annual total income of your household?,,"Less than $15,000^$15,000 to $24,999^$25,000 to $34,999^$35,000 to $49,999^$50,000 to $74,999^$75,000 to $99,999^$100,000 to $149,999^$150,000 or more",S,AVG,10000^20000^30000^42500^62500^87500^125000^175000,,,
359,5,Number of persons in your household?,,1^2^3^4^5 or more,S,,,,,
360,6,How many of the persons in your household are under the age of 18?,,0^1^2^3^4^5 or more,S,,,,,
361,5,What are the age ranges of the children in your household under the age of 18? (Check all that apply),,Under 2 years old^2 to 5 years old^6 to 9 years old^10 to 12 years old^13 to 17 years old,M,,,,360,"2,3,4,5,6"
362,2,Are you a Grandparent?,,Yes^No,S,,,,,
363,3,What is your household status?,,Own^Rent^Live with Parents/Family,S,,,,,
364,2,"Are you of Hispanic, Latino or Spanish origin?",,Yes^No,S,,,,,
365,6,Which ONE of the following categories best describes your race? (Choose only one),,African American/Black^Asian^Multi-Racial^Native American^White/Caucasian^Some other race or ethnic heritage,S,,,,,
367,20,Please check the statement that best describes your place of work:,,"Beauty Shop/Barber Shop^Catering^Church or Religious Organization^Contractor/Maintenance & Repair^Convenience Store (gas stations, food pantry, car wash)^Daycare^Government^Grocery Store^Health Care/Medical organization^Manufacturing^Motel, Hotel, Bed & Breakfast^Office/Administration^Professional Office (i.e. law office, bank, advertising, insurance etc.)^Restaurant^Retail Store^School (Elementary, Vo-Tech, College, Private)^Vending Operator^Other Foodservice (concessions, manufacturing)^Other not listed above^Don't work/Doesn't apply",S,,,,,
368,1,"Other, please specify:",,,F,,,,367,19
369,3,"In your job, do you purchase or influence the purchase of items for the company you work for?",,Yes^No^Don't work/Doesn't apply,S,,,,,
370,3,"In your job, how often do you travel out-of-town for business?",,Regularly^Occasionally^Never,S,,,,,
371,12,Is your company planning on purchasing any of the following over the next six months (Check all that apply),,Advertising^Auto or Truck(s)^Cleaning Supplies^Computer Equipment^Health Insurance^Liability Insurance^Office Furniture^Office Supplies^Payroll Services^Telecom Equipment or Services^Website^None of the above,M,,,,369,1
372,2,Are you a member of any of the following warehouse clubs? BJ's,,Yes^No,S,,,,,
373,2,Costco,,Yes^No,S,,,,,
374,2,Sam's Club,,Yes^No,S,,,,,
121,2,Do you have an Amazon Prime membership?,,Yes^No,S,,,,,
122,3,Which Amazon Prime subscription do you currently have?,,Monthly Prime Video subscription^Monthly Prime subscription^Annual Prime subscription,S,,,,121,1
123,4,How long have you had your Amazon Prime Membership?,,Less than a year^1 year^2 years^3 or more years,S,,,,121,1
124,20,"In the last 90 days, have you purchased any of the following using your Amazon Prime membership? (Check all that apply)",,"Apparel & Accessories^Appliances^Automotive Parts & Accessories^Beauty Products^CDs/DVDs/Videos/Books^Children's Products (i.e. apparel, toys, school supplies, etc.)^Electronics (e.g. TV, computer, mobile device, etc.)^Furniture & Decorative Home Furnishings^Groceries^Health & Wellness Products^Home Improvement & Hardware Supplies^Household Cleaning Products^Laundry Products^Lawn & Garden Supplies^Linens/Bedding/Draperies^Pet Supplies^Shoes^Sporting Goods^Other^None of the above",M,,,,121,1
125,1,"Other, please specify:",,,F,,,,124,19
126,2,Do other family members or friends use your Amazon Prime membership to buy products?,,Yes^No,S,,,,121,1
127,5,How many use it?,,1^2^3^4^5 or more,S,,,,126,1
128,3,Are you planning on renewing your Amazon Prime Membership?,,Yes^No^Unsure,S,,,,121,1
129,4,Are you considering purchasing an Amazon Prime membershipÖ,,In the next 3 months^In the next 3-6 months^In the next 6-12 months^Not planning to purchase an Amazon Prime membership,S,,,,121,2
130,3,What Amazon Prime subscription(s) are you considering purchasing? (Check all that apply),,Monthly Prime Video subscription^Monthly Prime subscription^Annual Prime subscription,M,,,,129,"1,2,3,"
131,2,Do you use a family member or friend's Amazon Prime membership to buy products?,,Yes^No,S,,,,121,2
132,2,Do you have a Walmart Plus (Walmart+) Membership?,,Yes^No,S,,,,,
133,4,How long have you had your Walmart Plus (Walmart+) Membership?,,Less than a year^1 year^2 years^3 or more years,S,,,,132,1
134,20,"In the last 90 days, have you purchased any of the following using your Walmart Plus (Walmart+) membership? (Check all that apply)",,"Apparel & Accessories^Appliances^Automotive Parts & Accessories^Beauty Products^CDs/DVDs/Videos/Books^Children's Products (i.e. apparel, toys, school supplies, etc.)^Electronics (e.g. TV, computer, mobile device, etc.)^Furniture & Decorative Home Furnishings^Groceries^Health & Wellness Products^Home Improvement & Hardware Supplies^Household Cleaning Products^Laundry Products^Lawn & Garden Supplies^Linens/Bedding/Draperies^Pet Supplies^Shoes^Sporting Goods^Other^None of the above",M,,,,132,1
135,1,"Other, please specify:",,,F,,,,134,19
136,2,Do other family members or friends use your Walmart Plus (Walmart+) membership to buy products?,,Yes^No,S,,,,132,1
137,5,How many use it?,,1^2^3^4^5 or more,S,,,,136,1
138,4,Are you considering purchasing a Walmart Plus (Walmart+) membershipÖ,,In the next 3 months^In the next 3-6 months^In the next 6-12 months^Not planning to purchase a Walmart Plus (Walmart+) membership,S,,,,132,2
139,2,Do you use a family member or friend's Walmart Plus (Walmart+) membership to buy products?,,Yes^No,S,,,,132,2
140,2,Would you be willing to subscribe to both Walmart Plus (Walmart+) and Amazon Prime?,,Yes^No,S,,,,,
366,6,Which card do you use MOST OFTEN for PERSONAL EXPENDITURES? (Choose only one),,American Express^Discover Card^Master Card^Visa^Store Credit Card^I don't have a Credit Card,S,,,,,
